Company,year,Current ratio (times),Debt to Asset ratio,Debt to equity ratio (times),Equity turnover,Free Cash Flow Return,Interest Coverage Ratio,Invested Capital Turnover,Net profit margin,Pre Tax Margin,Quick ratio (times),Return on capital employed,Return on equity,Return on sales,Return on total assets,Sales Growth Over Past Year,Acquired,Log_assets,Log_sales
3D P L M Global Services Pvt. Ltd.,2015,1.1,0.28,1.13,8.13,0.24,15.23,4.54,10.18,10.38,1.01,46.45,83.16,17.53,26.28,11730.0,0,5.494295249789477,5.871836059652451
3D P L M Global Services Pvt. Ltd.,2016,2.85,0.22,0.38,4.86,0.19,224.0,3.09,19.04,18.97,2.68,59.08,92.94,24.49,40.19,64.89,0,5.7477993600729755,6.371953669145969
3D P L M Global Services Pvt. Ltd.,2017,3.81,0.14,0.2,2.63,0.25,13.9,2.08,22.24,22.58,3.52,47.57,60.06,26.75,38.48,17.84,0,6.224954390476336,6.536111719349483
3D P L M Global Services Pvt. Ltd.,2018,2.78,0.0,0.0,2.34,0.35,597.67,2.15,16.75,19.1,2.77,36.29,39.42,23.43,28.3,34.93,0,6.404401670054847,6.835722076082305
3D P L M Global Services Pvt. Ltd.,2019,2.81,0.26,0.46,2.27,0.23,9.39,1.79,17.5,17.9,2.78,32.03,40.63,26.75,25.45,31.31,0,7.014005398824796,7.108080460215667
3D P L M Global Services Pvt. Ltd.,2020,4.22,0.21,0.34,1.91,0.3,9.23,1.37,10.31,16.43,4.19,14.24,19.84,24.51,11.83,9.35,0,7.117124396874507,7.197435354096591
3D P L M Global Services Pvt. Ltd.,2021,4.22,0.21,0.34,1.91,0.3,9.23,1.37,10.31,16.43,4.19,14.24,19.84,24.51,11.83,9.35,0,7.117124396874507,7.197435354096591
3I Infotech B P O Ltd.,2008,1.44,0.14,0.36,2.36,,,1.94,,-17.52,1.44,,,,,-25.03,0,,
3I Infotech B P O Ltd.,2009,0.09,0.01,0.2,2.4,0.9,1.33,1.87,-0.49,0.33,0.09,-0.97,-1.24,11.53,-0.1,-21.49,0,6.248042874508429,4.062165663857866
3I Infotech B P O Ltd.,2010,3.06,0.04,0.05,0.74,-1.04,17.2,0.7,3.88,5.61,3.05,2.74,2.9,7.97,1.4,262.82,0,6.486618001479677,5.350909816667207
3I Infotech B P O Ltd.,2011,1.71,0.08,0.13,1.41,-0.04,4.27,1.3,1.91,3.05,1.6,2.55,2.76,4.61,2.06,192.98,0,6.250361268128009,6.425840998710567
3I Infotech B P O Ltd.,2012,1.52,0.07,0.11,1.96,0.05,3.88,1.76,1.99,2.88,1.46,3.54,3.95,4.91,2.52,8.55,0,6.314272421535137,6.507874549167873
3I Infotech B P O Ltd.,2013,0.4,0.25,0.55,1.84,-0.24,1.66,1.39,1.56,2.3,0.38,2.25,2.99,4.3,1.62,-4.64,0,6.614323374549749,6.460373827772681
3I Infotech B P O Ltd.,2014,0.34,0.19,0.37,1.56,0.29,2.09,1.07,5.37,7.0,0.26,6.21,9.05,9.28,4.43,-12.39,0,6.610830625163423,6.3281153392157865
3I Infotech B P O Ltd.,2015,2.46,0.05,0.07,1.43,0.05,1.1,1.17,-0.19,2.48,1.09,-0.24,-0.29,5.68,-0.16,-2.64,0,6.410339342126064,6.301336101932016
3I Infotech B P O Ltd.,2016,2.5,0.0,0.0,1.09,0.02,3.38,1.06,0.51,0.88,0.83,0.56,0.58,-0.9,0.37,-20.74,0,6.436791188641277,6.068888444072786
3I Infotech B P O Ltd.,2017,2.73,0.0,0.0,1.04,0.04,26.0,1.04,2.06,1.89,1.29,2.24,2.24,-2.35,1.49,-3.33,0,6.37434315654335,6.035002849122465
3I Infotech B P O Ltd.,2018,1.79,0.0,0.0,1.11,-0.01,205.0,1.11,2.67,3.46,1.78,3.12,3.12,-0.77,2.38,8.78,0,6.193792958708272,6.119197913617533
3I Infotech B P O Ltd.,2019,2.97,0.0,0.0,1.16,0.0,203.0,1.16,2.91,4.17,2.94,3.52,3.52,-0.02,3.06,7.77,0,6.184148890937483,6.193997144518067
3I Infotech B P O Ltd.,2020,3.37,0.0,0.0,0.97,0.07,481.0,0.97,6.58,10.1,3.32,6.97,6.98,2.52,6.17,-11.54,0,6.259390241194085,6.071430328745864
3I Infotech B P O Ltd.,2021,3.37,0.0,0.0,0.97,0.07,481.0,0.97,6.58,10.1,3.32,6.97,6.98,2.52,6.17,-11.54,0,6.259390241194085,6.071430328745864
3I Infotech Consultancy Services Ltd.,2008,1.03,0.0,0.0,196.63,0.1,,196.63,0.19,0.35,1.03,37.5,37.5,1.97,0.47,0.0,0,4.859812404361672,5.751301990624177
3I Infotech Consultancy Services Ltd.,2009,1.53,0.22,1.1,10.0,-0.22,28.77,4.79,8.0,12.17,1.53,38.29,80.0,14.27,13.45,109.79,0,6.486160788944089,6.492239835020471
3I Infotech Consultancy Services Ltd.,2010,1.62,0.29,0.72,4.33,0.3,2.12,2.32,4.36,3.48,1.62,10.17,19.01,8.1,5.48,9.83,0,6.225745842832648,6.586033714306832
3I Infotech Consultancy Services Ltd.,2011,1.63,0.31,0.72,4.14,-0.12,2.12,2.41,2.09,2.62,1.63,5.03,8.65,7.17,3.61,20.8,0,6.23166185298802,6.775023566528179
