Company,year,Current ratio (times),Debt to Asset ratio,Debt to equity ratio (times),Equity turnover,Free Cash Flow Return,Interest Coverage Ratio,Invested Capital Turnover,Net profit margin,Pre Tax Margin,Quick ratio (times),Return on capital employed,Return on equity,Return on sales,Return on total assets,Sales Growth Over Past Year,Acquired,Log_assets,Log_sales
3D P L M Global Services Pvt. Ltd.,2015,1.1,0.28,1.13,8.13,0.24,15.23,4.54,10.18,10.38,1.01,46.45,83.16,17.53,26.28,11730.0,0,5.494295249789477,5.871836059652451
3D P L M Global Services Pvt. Ltd.,2016,2.85,0.22,0.38,4.86,0.19,224.0,3.09,19.04,18.97,2.68,59.08,92.94,24.49,40.19,64.89,0,5.7477993600729755,6.371953669145969
3D P L M Global Services Pvt. Ltd.,2017,3.81,0.14,0.2,2.63,0.25,13.9,2.08,22.24,22.58,3.52,47.57,60.06,26.75,38.48,17.84,0,6.224954390476336,6.536111719349483
3D P L M Global Services Pvt. Ltd.,2018,2.78,0.0,0.0,2.34,0.35,597.67,2.15,16.75,19.1,2.77,36.29,39.42,23.43,28.3,34.93,0,6.404401670054847,6.835722076082305
3D P L M Global Services Pvt. Ltd.,2019,2.81,0.26,0.46,2.27,0.23,9.39,1.79,17.5,17.9,2.78,32.03,40.63,26.75,25.45,31.31,0,7.014005398824796,7.108080460215667
3D P L M Global Services Pvt. Ltd.,2020,4.22,0.21,0.34,1.91,0.3,9.23,1.37,10.31,16.43,4.19,14.24,19.84,24.51,11.83,9.35,0,7.117124396874507,7.197435354096591
3D P L M Global Services Pvt. Ltd.,2021,4.22,0.21,0.34,1.91,0.3,9.23,1.37,10.31,16.43,4.19,14.24,19.84,24.51,11.83,9.35,0,7.117124396874507,7.197435354096591
3I Infotech Consultancy Services Ltd.,2008,1.03,0.0,0.0,196.63,0.1,,196.63,0.19,0.35,1.03,37.5,37.5,1.97,0.47,0.0,0,4.859812404361672,5.751301990624177
3I Infotech Consultancy Services Ltd.,2009,1.53,0.22,1.1,10.0,-0.22,28.77,4.79,8.0,12.17,1.53,38.29,80.0,14.27,13.45,109.79,0,6.486160788944089,6.492239835020471
3I Infotech Consultancy Services Ltd.,2010,1.62,0.29,0.72,4.33,0.3,2.12,2.32,4.36,3.48,1.62,10.17,19.01,8.1,5.48,9.83,0,6.225745842832648,6.586033714306832
3I Infotech Consultancy Services Ltd.,2011,1.63,0.31,0.72,4.14,-0.12,2.12,2.41,2.09,2.62,1.63,5.03,8.65,7.17,3.61,20.8,0,6.23166185298802,6.775023566528179
3I Infotech Consultancy Services Ltd.,2012,1.48,0.32,0.69,2.41,0.06,1.32,1.42,1.1,2.07,1.28,1.56,2.65,7.99,1.18,-38.65,0,6.189700462716007,6.286370464649083
3I Infotech Consultancy Services Ltd.,2013,1.5,0.35,0.66,2.76,0.07,1.2,1.65,0.71,-0.58,1.5,1.2,2.01,3.5,0.99,14.97,0,6.045715961939898,6.425840998710567
3I Infotech Consultancy Services Ltd.,2014,1.44,0.38,0.82,2.74,0.02,1.73,1.57,1.96,2.14,1.21,3.14,5.47,6.75,2.7,-1.83,0,6.160363083569796,6.407374913077685
3I Infotech Consultancy Services Ltd.,2015,1.39,0.31,0.74,2.88,-0.57,0.99,1.61,-0.17,0.53,1.39,-0.28,-0.49,4.97,-0.22,5.9,0,6.282827337399335,6.464744054800002
3I Infotech Consultancy Services Ltd.,2016,3.3,0.31,0.71,2.21,0.0,1.08,1.28,0.22,0.39,3.3,0.28,0.48,5.07,0.21,-20.82,0,6.274950327428353,6.231268539315299
3I Infotech Consultancy Services Ltd.,2017,3.16,0.33,0.77,1.55,0.0,0.71,0.89,-3.95,-4.21,3.15,-3.55,-6.17,5.9,-2.66,-31.35,0,6.240665632741481,5.855071922202427
3I Infotech Consultancy Services Ltd.,2018,3.93,0.0,0.0,2.24,0.0,0.71,1.63,1.71,1.73,3.92,2.8,3.85,1.58,2.01,41.83,0,5.802420444553201,6.20455776256869
3I Infotech Consultancy Services Ltd.,2019,4.62,0.0,0.0,2.56,0.0,0.71,2.56,2.09,2.52,4.57,5.36,5.36,2.52,3.7,19.6,0,5.8239330757866625,6.3835066348840055
3I Infotech Consultancy Services Ltd.,2020,4.92,0.0,0.0,2.59,-0.01,0.71,2.59,3.76,4.66,4.88,9.75,9.75,5.18,6.69,6.39,0,5.91350300563827,6.4454023086669245
3I Infotech Consultancy Services Ltd.,2021,4.92,0.0,0.0,2.59,-0.01,0.71,2.59,3.76,4.66,4.88,9.75,9.75,5.18,6.69,6.39,0,5.91350300563827,6.4454023086669245
A B M Knowledgeware Ltd.,2000,0.61,0.05,0.06,1.48,0.02,,1.42,12.66,15.53,0.6,18.29,19.14,18.09,16.25,,0,4.794963757620747,4.754451888703846
A B M Knowledgeware Ltd.,2001,4.27,0.17,0.22,1.05,-0.13,22.2,0.93,5.71,9.76,4.09,5.54,6.23,10.74,4.68,220.92,0,4.923623917106626,4.647271362006727
A B M Knowledgeware Ltd.,2002,3.46,0.06,0.08,0.83,0.06,18.85,0.72,3.05,6.43,3.45,2.27,2.6,12.3,2.03,-17.35,0,4.875960390769654,4.456670177669648
A B M Knowledgeware Ltd.,2003,3.55,0.1,0.14,0.57,-0.09,15.5,0.52,5.7,9.14,3.54,3.05,3.37,11.61,2.61,-35.03,0,4.808111029984782,4.02535169073515
