Company,year,Current ratio (times),Debt to Asset ratio,Debt to equity ratio (times),Equity turnover,Free Cash Flow Return,Interest Coverage Ratio,Invested Capital Turnover,Net profit margin,Pre Tax Margin,Quick ratio (times),Return on capital employed,Return on equity,Return on sales,Return on total assets,Sales Growth Over Past Year,Acquired,Log Sales,Log Total assets
3D P L M Global Services Pvt. Ltd.,2014,,,,,-0.12,,,-133.33,,,,,-133.33,,,0,1.0986122886681098,3.4965075614664802
3D P L M Global Services Pvt. Ltd.,2015,1.1,0.28,1.13,8.13,0.24,15.23,4.54,10.18,10.38,1.01,46.45,83.16,17.53,26.28,11730.0,0,5.871836059652451,5.494295249789477
3D P L M Global Services Pvt. Ltd.,2016,2.85,0.22,0.38,4.86,0.19,224.0,3.09,19.04,18.97,2.68,59.08,92.94,24.49,40.19,64.89,0,6.371953669145969,5.7477993600729755
3D P L M Global Services Pvt. Ltd.,2017,3.81,0.14,0.2,2.63,0.25,13.9,2.08,22.24,22.58,3.52,47.57,60.06,26.75,38.48,17.84,0,6.536111719349483,6.224954390476336
3D P L M Global Services Pvt. Ltd.,2018,2.78,0.0,0.0,2.34,0.35,597.67,2.15,16.75,19.1,2.77,36.29,39.42,23.43,28.3,34.93,0,6.835722076082305,6.404401670054847
3D P L M Global Services Pvt. Ltd.,2019,2.81,0.26,0.46,2.27,0.23,9.39,1.79,17.5,17.9,2.78,32.03,40.63,26.75,25.45,31.31,0,7.108080460215667,7.014005398824796
3D P L M Global Services Pvt. Ltd.,2020,4.22,0.21,0.34,1.91,0.3,9.23,1.37,10.31,16.43,4.19,14.24,19.84,24.51,11.83,9.35,0,7.197435354096591,7.117124396874507
3D P L M Global Services Pvt. Ltd.,2021,4.22,0.21,0.34,1.91,0.3,9.23,1.37,10.31,16.43,4.19,14.24,19.84,24.51,11.83,9.35,0,7.197435354096591,7.117124396874507
3I Infotech Consultancy Services Ltd.,2008,1.03,0.0,0.0,196.63,0.1,,196.63,0.19,0.35,1.03,37.5,37.5,1.97,0.47,0.0,0,5.751301990624177,4.859812404361672
3I Infotech Consultancy Services Ltd.,2009,1.53,0.22,1.1,10.0,-0.22,28.77,4.79,8.0,12.17,1.53,38.29,80.0,14.27,13.45,109.79,0,6.492239835020471,6.486160788944089
3I Infotech Consultancy Services Ltd.,2010,1.62,0.29,0.72,4.33,0.3,2.12,2.32,4.36,3.48,1.62,10.17,19.01,8.1,5.48,9.83,0,6.586033714306832,6.225745842832648
3I Infotech Consultancy Services Ltd.,2011,1.63,0.31,0.72,4.14,-0.12,2.12,2.41,2.09,2.62,1.63,5.03,8.65,7.17,3.61,20.8,0,6.775023566528179,6.23166185298802
3I Infotech Consultancy Services Ltd.,2012,1.48,0.32,0.69,2.41,0.06,1.32,1.42,1.1,2.07,1.28,1.56,2.65,7.99,1.18,-38.65,0,6.286370464649083,6.189700462716007
3I Infotech Consultancy Services Ltd.,2013,1.5,0.35,0.66,2.76,0.07,1.2,1.65,0.71,-0.58,1.5,1.2,2.01,3.5,0.99,14.97,0,6.425840998710567,6.045715961939898
3I Infotech Consultancy Services Ltd.,2014,1.44,0.38,0.82,2.74,0.02,1.73,1.57,1.96,2.14,1.21,3.14,5.47,6.75,2.7,-1.83,0,6.407374913077685,6.160363083569796
3I Infotech Consultancy Services Ltd.,2015,1.39,0.31,0.74,2.88,-0.57,0.99,1.61,-0.17,0.53,1.39,-0.28,-0.49,4.97,-0.22,5.9,0,6.464744054800002,6.282827337399335
3I Infotech Consultancy Services Ltd.,2016,3.3,0.31,0.71,2.21,0.0,1.08,1.28,0.22,0.39,3.3,0.28,0.48,5.07,0.21,-20.82,0,6.231268539315299,6.274950327428353
3I Infotech Consultancy Services Ltd.,2017,3.16,0.33,0.77,1.55,0.0,0.71,0.89,-3.95,-4.21,3.15,-3.55,-6.17,5.9,-2.66,-31.35,0,5.855071922202427,6.240665632741481
3I Infotech Consultancy Services Ltd.,2018,3.93,0.0,0.0,2.24,0.0,0.71,1.63,1.71,1.73,3.92,2.8,3.85,1.58,2.01,41.83,0,6.20455776256869,5.802420444553201
3I Infotech Consultancy Services Ltd.,2019,4.62,0.0,0.0,2.56,0.0,0.71,2.56,2.09,2.52,4.57,5.36,5.36,2.52,3.7,19.6,0,6.3835066348840055,5.8239330757866625
3I Infotech Consultancy Services Ltd.,2020,4.92,0.0,0.0,2.59,-0.01,0.71,2.59,3.76,4.66,4.88,9.75,9.75,5.18,6.69,6.39,0,6.4454023086669245,5.91350300563827
3I Infotech Consultancy Services Ltd.,2021,4.92,0.0,0.0,2.59,-0.01,0.71,2.59,3.76,4.66,4.88,9.75,9.75,5.18,6.69,6.39,0,6.4454023086669245,5.91350300563827
63 Moons Technologies Ltd.,2000,6.68,0.0,0.0,0.73,0.04,,0.73,29.87,33.16,6.68,23.59,23.59,46.04,21.74,8142.86,0,5.153869462182164,6.243195555274104
63 Moons Technologies Ltd.,2001,3.51,0.0,0.0,0.16,-0.18,,0.16,-94.17,-86.09,3.51,-25.11,-25.16,-163.52,-21.83,-63.26,0,4.152613470346076,6.024173721517687
63 Moons Technologies Ltd.,2002,3.37,0.06,0.08,0.51,-0.15,6.43,0.49,2.58,15.44,3.37,1.35,1.39,7.12,1.09,118.55,0,4.9344739331306915,5.65704021210407
63 Moons Technologies Ltd.,2003,1.45,0.0,0.0,0.69,0.03,91.5,0.68,45.18,47.45,1.45,30.98,31.65,57.64,26.94,93.09,0,5.592478405097527,6.437271534499525
63 Moons Technologies Ltd.,2004,1.52,0.0,0.0,0.33,0.08,203.39333333333332,0.33,29.66,38.17,1.52,10.2,10.2,44.09,9.19,19.41,0,5.7698822763607245,7.336676463126643
63 Moons Technologies Ltd.,2005,0.37,0.0,0.0,0.63,0.24,315.28666666666663,0.63,47.48,58.42,0.37,32.2,32.2,63.51,26.22,183.62,0,6.812345094177479,7.611397196634724
63 Moons Technologies Ltd.,2006,4.49,0.61,2.19,0.59,0.02,427.18,0.26,55.18,64.88,4.49,25.88,58.03,40.26,22.21,12.53,0,6.930397009462962,8.869791838534347
63 Moons Technologies Ltd.,2007,9.91,0.2,0.27,0.17,-0.12,114.59,0.11,70.94,91.62,9.91,76.84,115.26,35.05,70.84,39.95,0,7.266478124538169,9.904786708267748
63 Moons Technologies Ltd.,2008,7.41,0.19,0.27,0.23,0.04,3321.71,0.18,50.93,65.51,7.41,17.95,22.8,52.09,16.55,152.58,0,8.193040753468544,10.093198407761937
63 Moons Technologies Ltd.,2009,4.63,0.15,0.2,0.18,0.04,22206.0,0.14,52.4,68.34,4.63,14.76,18.17,48.52,13.38,-8.03,0,8.109285101656933,10.21094284008685
63 Moons Technologies Ltd.,2010,1.41,0.15,0.2,0.17,-0.02,374.2,0.15,46.21,21.02,1.4,9.46,11.33,45.56,8.46,7.56,0,8.182195866577699,10.230053743037875
63 Moons Technologies Ltd.,2011,6.5,0.17,0.24,0.19,0.1,21.13,0.16,56.17,59.54,6.48,17.96,21.86,57.6,16.29,18.98,0,8.355967542917016,10.381288825979704
63 Moons Technologies Ltd.,2012,5.62,0.17,0.22,0.18,0.09,13.41,0.15,47.42,60.95,5.61,9.79,12.04,57.71,8.96,5.95,0,8.413808500308662,10.49129366169365
63 Moons Technologies Ltd.,2013,3.48,0.14,0.19,0.13,0.02,11.67,0.11,-38.1,-29.15,3.44,-7.63,-9.22,35.71,-6.91,-25.77,0,8.115849578267243,10.36904066792066
63 Moons Technologies Ltd.,2014,12.89,0.14,0.17,0.06,-0.06,9.93,0.05,8.21,26.48,12.77,4.34,5.14,-56.71,4.02,-51.89,0,7.38417577602395,10.444342741503798
