,10-Dec,10-Dec,10-Dec,10-Dec,10-Dec,10-Dec,10-Dec,10-Dec,10-Dec,10-Dec,11-Dec,11-Dec,11-Dec,11-Dec,11-Dec,11-Dec,11-Dec,11-Dec,11-Dec,11-Dec,12-Dec,12-Dec,12-Dec,12-Dec,12-Dec,12-Dec,12-Dec,12-Dec,12-Dec,12-Dec,13-Dec,13-Dec,13-Dec,13-Dec,13-Dec,13-Dec,13-Dec,13-Dec,13-Dec,13-Dec,14-Dec,14-Dec,14-Dec,14-Dec,14-Dec,14-Dec,14-Dec,14-Dec,14-Dec,14-Dec,15-Dec,15-Dec,15-Dec,15-Dec,15-Dec,15-Dec,15-Dec,15-Dec,15-Dec,15-Dec,16-Dec,16-Dec,16-Dec,16-Dec,16-Dec,16-Dec,16-Dec,16-Dec,16-Dec,16-Dec,17-Dec,17-Dec,17-Dec,17-Dec,17-Dec,17-Dec,17-Dec,17-Dec,17-Dec,17-Dec,18-Dec,18-Dec,18-Dec,18-Dec,18-Dec,18-Dec,18-Dec,18-Dec,18-Dec,18-Dec,19-Dec,19-Dec,19-Dec,19-Dec,19-Dec,19-Dec,19-Dec,19-Dec,19-Dec,19-Dec,20-Dec,20-Dec,20-Dec,20-Dec,20-Dec,20-Dec,20-Dec,20-Dec,20-Dec,20-Dec,Acquired,Acquisition type,Acquisition year
Company Name,Sales,Net Loans To Assets,Profit Margin,Free Cash Flow Return,ROE,Return on capital employed,Total assets,Quick ratio (times),Current ratio (times),Debt to equity ratio (times),Sales,Net Loans To Assets,Profit Margin,Free Cash Flow Return,ROE,Return on capital employed,Total assets,Quick ratio (times),Current ratio (times),Debt to equity ratio (times),Sales,Net Loans To Assets,Profit Margin,Free Cash Flow Return,ROE,Return on capital employed,Total assets,Quick ratio (times),Current ratio (times),Debt to equity ratio (times),Sales,Net Loans To Assets,Profit Margin,Free Cash Flow Return,ROE,Return on capital employed,Total assets,Quick ratio (times),Current ratio (times),Debt to equity ratio (times),Sales,Net Loans To Assets,Profit Margin,Free Cash Flow Return,ROE,Return on capital employed,Total assets,Quick ratio (times),Current ratio (times),Debt to equity ratio (times),Sales,Net Loans To Assets,Profit Margin,Free Cash Flow Return,ROE,Return on capital employed,Total assets,Quick ratio (times),Current ratio (times),Debt to equity ratio (times),Sales,Net Loans To Assets,Profit Margin,Free Cash Flow Return,ROE,Return on capital employed,Total assets,Quick ratio (times),Current ratio (times),Debt to equity ratio (times),Sales,Net Loans To Assets,Profit Margin,Free Cash Flow Return,ROE,Return on capital employed,Total assets,Quick ratio (times),Current ratio (times),Debt to equity ratio (times),Sales,Net Loans To Assets,Profit Margin,Free Cash Flow Return,ROE,Return on capital employed,Total assets,Quick ratio (times),Current ratio (times),Debt to equity ratio (times),Sales,Net Loans To Assets,Profit Margin,Free Cash Flow Return,ROE,Return on capital employed,Total assets,Quick ratio (times),Current ratio (times),Debt to equity ratio (times),Sales,Net Loans To Assets,Profit Margin,Free Cash Flow Return,ROE,Return on capital employed,Total assets,Quick ratio (times),Current ratio (times),Debt to equity ratio (times),,,
'X'Clusive Business Centre Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
20Th Century Finance Corpn. Ltd. [Merged],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
20Th Century Gems Ltd.,2.2,0.33,72.97,0,13.81,12.71,23.6,1.3,1.3,0.08,2.2,0.27,69.23,0,12.13,11.27,26.4,1.55,1.55,0.07,2.2,0.27,69.23,0,12.13,11.27,26.4,1.55,1.55,0.07,,,,,,,,,,,2.5,0.34,71.43,0,,,36.3,3.86,10.14,0.05,2.5,0.25,70.59,0,10.27,9.8,39.9,3.69,3.69,0.05,2.5,0.22,73.08,0,9.79,9.38,43.7,6.85,6.85,0.04,2.5,0.03,75,0,9.81,9.44,47.9,6.62,6.62,0.04,2.5,0.02,72.88,0,9.14,8.82,52.2,8.08,8.08,0.03,3,0.03,74.39,0,11.67,11.31,58.8,5.67,5.67,0.03,3,0.03,74.39,0,11.67,11.31,58.8,5.67,5.67,0.03,No,,
20Th Century Holdings Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,0.01,26.02,0.02,,,215.1,4.43,159,0,5.2,0.01,33.04,0.04,1.72,1.77,218.7,6.33,185,0,5.2,0,53.52,-0.01,3.44,3.17,226.3,0.5,204,0,5.4,0.01,55.89,0.08,6.33,5.86,240.9,0.75,296,0,5.4,0.01,16.67,0.02,1.16,1.16,243.5,1.33,413,0,5.4,0.08,23.13,0,1.27,1.19,246.5,16,1158,0,5.4,0.08,23.13,0,1.27,1.19,246.5,16,1158,0,No,,
20Th Century Trdg. Pvt. Ltd.,,,,,,,,,,,,0,0,0,,,2.1,,,0,,0,0,0,0,0,2.1,,,0,,0,55.56,0,21.28,21.28,2.6,,,0,,0.03,100,0,7.27,7.27,2.9,,,0,,0,0,0,0,0,2.8,,,0,,0,0,0,0,0,2.8,,,0,,0.03,66.67,0,13.33,13.33,3.3,33,33,0,,0.03,,0,-6.45,-6.45,3.1,31,31,0,,0,,0,-3.39,-3.39,2.9,,,0,,0,,0,-3.39,-3.39,2.9,,,0,No,,
21St Century Constructions Ltd.,,0,-7.69,0,-0.03,-0.03,339.2,1,1,0,,0,55,-0.01,0.32,0.32,340.5,3.27,3.27,0,,0,-229.17,0,-1.48,0.57,405.7,0.98,0.98,0,,0,76.47,0.01,0.65,0.65,422.8,0.09,0.09,0,,0,-47.62,-0.01,-0.25,-0.25,411.4,0.01,0.01,0,,0,-7322.22,-0.01,-17.8,-17.8,337.6,,,0,,0.01,29.09,-0.02,0.47,0.47,353.2,,,0,,0.02,-34.21,-0.02,-0.37,-0.37,352.4,1.5,1.5,0,,0.02,-6.45,0,-0.06,-0.06,355.7,0.18,0.18,0,,0.02,-6.45,0,-0.06,-0.06,355.7,0.18,0.18,0,,,,,,,,,,,No,,
21St Century Constructions Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
3A Capital Services Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
3A Financial Services Ltd.,,0.41,24.18,0,12.17,7.49,123,2.92,2.92,0.9,,0.09,9.93,0,4.55,2.45,135.4,15.29,15.29,0.82,,0.03,-19.42,0,-7.27,-3.74,167.8,20.15,20.15,1.06,,0.03,-19.42,0,-7.27,-3.74,167.8,20.15,20.15,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
3Dinnovations Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,2.5,0.11,-189.66,-0.1,-117.02,-24.77,56.4,0.08,0.47,3.72,24.6,0.12,-0.4,0.08,-1.07,-0.23,51.9,0.76,1.11,3.76,28.3,0.11,-1.05,0.18,-3.28,6.75,43,1.28,1.86,3.3,4.3,0.42,-40.98,0.06,-32.26,-18.58,6.5,,,0,,0.38,100,0.03,1.53,1.53,6.6,,,0,,0.16,100,0.19,1.49,1.49,6.8,,,0,No,,
3I Infotech Trusteeship Services Ltd.,33.5,0.59,26.13,-0.03,38.89,38.89,66.1,0.74,0.74,0,26.6,0.55,3.69,0.07,3.59,3.59,56.5,2.29,2.5,0,12.6,0.51,-54.73,0.21,-29.83,-25.05,44.9,1.25,1.39,0,21.1,0.65,30.29,-0.26,27.29,27.29,48.8,0.95,0.95,0,16.2,0.64,11.21,-0.08,7.9,-0.95,50.2,0.75,0.75,0,16.2,0.64,11.21,-0.08,7.9,-0.95,50.2,0.75,0.75,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
52 Weeks Entertainment Ltd.,,0.69,0,0,,,1.3,0.01,0.01,,,,24.14,,,,,0,0,,,0.91,49.06,-0.93,,3.23,174,0.03,0.03,2.07,,0.98,-671.65,-0.6,-180.34,-52.04,163.6,0.15,0.27,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Acquisition of Shares,Jan-13
5Paisa Capital Ltd.,,0,67.65,0.01,3.79,3.79,122.3,1223,1223,0,,0.01,25.64,0,2.43,2.84,129.8,38.76,38.76,0,,0.03,45.45,-0.06,3.54,3.54,133.1,34.84,34.84,0,,0.29,25.33,-0.17,8.58,8.58,163.8,5,5,0,,0.15,31.02,0.04,22.25,15.12,364,0.41,0.41,0.84,,0.16,-292.55,-0.05,-36.96,-22.94,472,0.96,0.99,0.19,,0.05,-155.66,-0.17,-23.3,-22.85,1092.3,4.24,4.37,0,,0.28,-128.75,-0.51,-33.47,-30.24,1313.7,0.89,0.95,0.26,,0.13,-31.17,0.05,-35.07,-17.51,2822.6,0.8,0.8,2.05,,0.44,-7.31,-0.06,-8.62,-3.16,6235.7,0.15,0.15,1.63,,0.24,8.93,0.3,11.66,4.55,8665,0.16,0.16,1.5,No,,
5Paisa P 2 P Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,20.5,,,0,,0,-25,-0.07,-1.47,-1.47,20.4,102,102,0,,0.05,0,-0.07,0,0,74.1,0.53,0.53,0,,0.06,-363.89,-0.22,-44.33,-44.33,82.8,0.53,0.53,0,No,,
9 Planets Products Pvt. Ltd.,,,,,,,,,,,,1,0,0,0,0,10,0,1.01,99,,0.23,0,0,0,0,105,0.51,0.51,3.14,14.5,0.09,-87.16,-0.01,-53.53,-7.23,285.4,0.07,0.33,9.67,89.3,0.08,-5.7,-0.13,-23.67,-1.5,372.1,0.08,0.47,17.11,89.3,0.08,-5.7,-0.13,-23.67,-1.5,372.1,0.08,0.47,17.11,35.3,0.13,-286.12,-0.08,,,386.4,0.25,0.91,,40.8,0.12,-235.21,-0.08,,-33.82,277.7,0.16,0.24,,0.5,0.09,-2287.5,0.01,,-7.72,260.6,0.95,1.09,,0.5,0.09,-2287.5,0.01,,-7.72,260.6,0.95,1.09,,,,,,,,,,,,No,,
91Streets Media Technologies Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,1.5,0.73,0.73,,,0.1,-13037.5,-0.63,-165.82,-163.35,145.6,6.48,6.54,0,2,0.32,-2601.19,-0.71,-87.41,-87.21,959.2,10.85,10.89,0,20.1,0.44,-880.7,-0.42,-61.08,-60.71,1431.4,6.86,6.94,0,115.9,0.89,-611.84,-0.67,-99.87,-95.63,2707.6,0.49,0.55,0.06,115.9,0.89,-611.84,-0.67,-99.87,-95.63,2707.6,0.49,0.55,0.06,,,,,,,,,,,No,,
A 1 Century Trades Ltd.,,0.93,,0,-0.08,-0.04,612.4,0,1.43,0.99,,0.92,,0,-0.08,-0.04,516.9,0,0.07,0.73,,0.91,0,0,0,0,471,0,0.08,0.72,,0.91,0,0,0,0,471,0,0.08,0.72,,0.91,,0,,,466.8,0,1.55,0.74,,0.91,0,0,0,0,466.9,0,1.55,0.74,,0.91,0,0,0,0,466.9,0,1.55,0.74,,0.91,0,0,0,0,466.9,0,1.55,0.74,,0.91,,0,-0.08,-0.05,466.8,0,1.55,0.74,,0.91,0,0,0,0,466.9,0,1.55,0.74,,0.91,0,0,0,0,466.9,0,1.55,0.74,No,,
A 2 Z Green Waste Mgmt. Ltd.,210.4,0.1,-50.31,-0.19,-140.7,-8.99,2065.3,0.32,0.45,65.72,429,0.22,-55.81,-0.27,,-9.03,4968.2,0.86,1.31,,429,0.22,-55.81,-0.27,,-9.03,4968.2,0.86,1.31,,468.9,0.19,-73.37,0.02,,,5816.7,0.15,0.28,,431.6,0.2,-99.63,0.02,,-12.33,5613.2,0.16,0.32,,249.9,0.22,-87.3,0.03,,-11.24,5617,0.15,0.29,,233,0.19,-99.91,0.16,,-16.4,5245.4,0.09,0.68,,76.5,0.2,-27.03,-0.01,,-25.67,4991.3,0.1,0.58,,35.4,0.21,-234.02,-0.01,,-14.89,4814.4,0.11,0.15,,7.3,0.21,-228.82,0,,-9.91,4719.3,0.12,0.16,,,,,,,,,,,,Yes,Acquisition of Shares,Mar-19
A 2 Z Powercom Ltd.,1477.4,0.17,0.63,-0.14,147.62,11.64,830.3,0.85,0.95,13.26,1633,0.4,0.61,-0.14,71.48,4.8,638.7,0.56,0.76,14.3,47.2,0.47,-7.75,0.47,-23.81,-4.46,360,0.47,0.56,4.09,,0.63,-871.43,0.21,-43.88,-13.77,252.3,0.27,0.39,0,17.8,0.65,4.47,-0.03,7.31,11.87,289.7,0.29,0.43,0,273.3,0.33,1.79,-0.19,33.91,6.29,568.4,0.65,0.72,7.12,263.1,0.21,1.11,0.02,15.31,1.95,731.1,0.8,0.82,6.63,162.2,0.38,-2.69,0,-22.96,-2.79,487.6,0.32,0.7,8.35,143.4,0.53,-4.35,1.21,-46.21,-14.41,116.8,0.46,0.82,0,,0.6,25.81,0,6.81,6.81,103.5,0.4,0.81,0,,0.6,25.81,0,6.81,6.81,103.5,0.4,0.81,0,No,,
A 2 Z Waste Mgmt. (Badaun) Ltd.,,0,,-0.25,,,0.4,3,3,0,,0.33,-52.94,-0.27,,-1.43,146.3,0.79,0.79,,,0.19,0,0.19,0,0,126,0.2,0.2,5.44,,0.19,0,-0.03,0,0,146.3,0.31,0.31,4.87,,0.19,-56.63,0.04,-21.91,-3.36,140.9,0.15,0.15,6.33,,0.21,-273.33,0,-77.36,-6.51,143.4,0.13,0.13,48.35,,0.2,-73.91,0,,-2.98,145.7,0.13,0.32,,,0.08,-23200,0.31,-253.55,-5.23,96.7,1.73,1.73,0.72,,0.08,,0,-5.74,-3.27,96.7,1.58,1.58,0.79,,0.08,,0,-6.1,-3.32,96.7,1.53,1.53,0.88,,0.08,,0,-6.1,-3.32,96.7,1.53,1.53,0.88,No,,
A 2 Z Waste Mgmt. (Balia) Ltd.,,0,,0,,,0.3,,,0,,0.24,50,-0.15,240,1.4,112.6,0.37,0.88,425.5,,0.17,,0.07,-0.75,-0.11,111.5,0.2,0.2,2.85,,0.17,0,-0.03,0,0,125.8,0.3,0.3,2.91,,0.17,33.33,0,0.34,0.09,124.2,0.15,0.15,3.02,,0.18,-230.77,0,-33.06,-5.94,125.8,0.15,0.15,10.38,,0.17,-70.27,0,-40.31,-2.99,126.9,0.14,0.14,15.53,,0.06,-9400,0.16,-146.87,-6.2,81,0.87,0.87,0.25,,0.06,-2100,0,-8.47,-5.14,80.7,0.81,0.81,1.44,,0.06,-1800,0,-11.54,-4.5,81,0.78,0.78,1.7,,0.06,-1800,0,-11.54,-4.5,81,0.78,0.78,1.7,No,,
A 2 Z Waste Mgmt. (Dhanbad) Pvt. Ltd.,,0,0,0,,,0.1,,,0,,0.2,0,0.4,0,0,0.5,0.25,0.5,1,5.9,0.44,-8.47,-0.12,,-500,3.4,0.42,0.82,,32.3,0.36,-12.94,-0.39,-22.62,-20.14,55.4,0.47,0.63,0.11,3.3,0.59,10.53,-0.07,1.58,1.31,82.4,0.21,0.76,0.31,,0.61,13.33,0,4.83,2.79,81.5,0.26,0.78,,,0.54,-5.17,0.17,,-9.23,59.8,0.39,1.22,,,0.14,-2.44,0,,,56.5,1.21,1.21,,,0.15,-5,0,,,53.2,1.2,1.2,,,0.14,-30.77,0,,,48.5,1.21,1.21,,,0.14,-30.77,0,,,48.5,1.21,1.21,,No,,
A 2 Z Waste Mgmt. (Fatehpur) Ltd.,,0.06,,0.22,,,16,0.26,0.26,7.33,,0.09,-50,-0.09,,-0.2,145.6,0.12,0.27,,1.5,0.06,-107.69,-0.01,-8.08,-1.99,196.9,0.54,0.55,1.6,7,0.22,-145.57,-0.14,-18.25,-6.24,205.7,0.13,0.2,2.32,4.8,0.23,-102.44,0.02,-26.2,-6.91,195.4,0.03,0.11,3.46,0.7,0.24,-350,0.02,-287.5,-12.44,186.5,0.03,0.09,,0.1,0.24,-266.67,0.01,,-15.15,178.4,0.02,0.11,,,0.25,-402.63,-0.01,,-15.83,171.6,0.03,0.15,,,0.26,-376.32,0.01,,-15.55,164.3,0.03,0.1,,,0.27,-400,0.01,,-16.16,157.6,0.03,0.09,,,0.27,-400,0.01,,-16.16,157.6,0.03,0.09,,No,,
